matrix,status,group,nnz,num_blocks,mat_fill,gspan,real_i8,null_i8,gain_i8,real_i4,null_i4,gain_i4
DRIVCAV/cavity01/cavity01.mtx,ok,DRIVCAV,7280,716,0.31774,60.111,0.006195,0.009891,0.3736,0.119139,0.138868,0.1421
DRIVCAV/cavity02/cavity02.mtx,ok,DRIVCAV,5923,680,0.2722,59.895,0.007247,0.009621,0.2467,0.116181,0.127648,0.0898
DRIVCAV/cavity03/cavity03.mtx,ok,DRIVCAV,7311,716,0.31909,61.687,0.007938,0.01061,0.2519,0.122764,0.132741,0.0752
DRIVCAV/cavity04/cavity04.mtx,ok,DRIVCAV,5923,680,0.2722,61.343,0.006839,0.008767,0.2199,0.100347,0.111821,0.1026
DRIVCAV/cavity05/cavity05.mtx,ok,DRIVCAV,32632,3046,0.33478,65.433,0.006397,0.010138,0.369,0.113296,0.136788,0.1717
DRIVCAV/cavity06/cavity06.mtx,ok,DRIVCAV,29675,2970,0.31224,63.062,0.00862,0.011584,0.2558,0.116264,0.134978,0.1386
DRIVCAV/cavity07/cavity07.mtx,ok,DRIVCAV,32702,3046,0.3355,66.243,0.008755,0.011746,0.2547,0.125244,0.141289,0.1136
DRIVCAV/cavity08/cavity08.mtx,ok,DRIVCAV,29675,2970,0.31224,63.798,0.008053,0.010653,0.2441,0.115222,0.131429,0.1233
CPM/cz5108/cz5108.mtx,ok,CPM,51412,10582,0.15183,81.966,0.002904,0.0044,0.34,0.04062,0.053478,0.2404
CPM/cz628/cz628.mtx,ok,CPM,6346,1302,0.15231,91.947,0.002971,0.00456,0.3486,0.040959,0.057287,0.285
Cannizzo/sts4098/sts4098.mtx,ok,Cannizzo,72356,13274,0.17034,181.884,0.008015,0.002857,-1.805,0.078035,0.018618,-3.1913
Cannizzo/sts4098/sts4098_b.mtx,ok,Cannizzo,1612,512,0.09839,141.328,0.003409,0.004147,0.1781,0.059427,0.075517,0.2131
FIDAP/ex2/ex2.mtx,ok,FIDAP,26839,1468,0.57133,106.668,0.01361,0.014428,0.0567,0.133942,0.107948,-0.2408
FIDAP/ex20/ex20.mtx,ok,FIDAP,67830,5941,0.35679,70.17,0.007412,0.010486,0.2932,0.070156,0.06754,-0.0387
